feature,importance
savings_std_144,10879857.930175781
price_volatility_6h,6002057.006103516
headroom_to_ondemand,5494910.837768555
family_hour_zscore,1526106.7166748047
family_stress_index,1249246.2821044922
family_hour_deviation,845205.8107910156
savings_lag_6,705743.6013183594
family_avg_savings,630766.9207763672
savings_min_144,612920.4000244141
month,577283.1878662109
family_std_savings,360994.0207519531
family_hour_std_savings,229243.9503173828
days_to_nearest_event,123933.74938964844
savings_lag_24,102781.97839355469
family_dow_avg_savings,37877.16979980469
savings_std_24,32622.03955078125
pool_historical_zero_rate,30773.609985351562
family_hour_avg_savings,27613.650146484375
day_of_month,26362.360107421875
family_weekend_avg_savings,25644.26025390625
savings_min_24,15784.42041015625
price_velocity_1h,12428.670166015625
day_of_week,8414.480102539062
savings_lag_144,6067.610107421875
savings_mean_24,5394.7099609375
savings_mean_144,2356.3701171875
is_business_hours,0.0
is_stress_event,0.0
is_holiday,0.0
is_weekend,0.0
day_sin,0.0
hour_sin,0.0
hour_cos,0.0
day_cos,0.0
savings_max_144,0.0
savings_max_24,0.0
hour,0.0
