feature,importance
headroom_to_ondemand,4271037988.145643
savings_lag_6,977236512.5857544
savings_mean_24,420211003.69250107
savings_min_24,155398309.20422745
savings_max_24,59048492.238975525
savings_lag_144,75885.14900588989
family_stress_index,67087.45468711853
price_velocity_1h,64399.91707801819
savings_std_24,47506.707792282104
family_hour_zscore,35019.73560714722
family_hour_deviation,31351.735752105713
savings_mean_144,22921.979816436768
savings_std_144,21358.314474105835
savings_max_144,20255.278896331787
savings_min_144,12229.614011764526
month,11355.431102752686
days_to_nearest_event,10255.52478981018
price_volatility_6h,8737.7258644104
family_avg_savings,7860.3828201293945
day_of_month,5414.847463607788
family_std_savings,5279.290697097778
family_hour_std_savings,3506.2083950042725
family_hour_avg_savings,2457.119316101074
family_dow_avg_savings,1779.4973049163818
family_weekend_avg_savings,1695.749017715454
day_of_week,907.2494010925293
savings_lag_24,636.1923065185547
day_sin,286.4746971130371
day_cos,170.2926025390625
is_weekend,155.62429809570312
hour_cos,89.37750244140625
is_holiday,81.06739807128906
hour,56.30059814453125
hour_sin,0.0
is_stress_event,0.0
is_business_hours,0.0
pool_historical_zero_rate,0.0
