feature,importance
savings_std_144,17143304.841064453
price_volatility_6h,8412722.303588867
headroom_to_ondemand,5138133.443603516
family_hour_zscore,2298741.143371582
savings_min_144,1797992.034790039
family_stress_index,1637336.490661621
month,1035845.8978271484
family_hour_deviation,975646.2304077148
family_avg_savings,818025.2169799805
family_std_savings,619629.0357666016
family_hour_std_savings,504161.05126953125
savings_lag_6,501552.9475097656
days_to_nearest_event,390285.2497558594
savings_mean_144,275852.6125488281
day_of_month,201514.96649169922
family_dow_avg_savings,152208.07189941406
savings_lag_24,141119.650390625
savings_std_24,126976.99072265625
family_weekend_avg_savings,109406.27459716797
pool_historical_zero_rate,105738.49005126953
family_hour_avg_savings,93387.39404296875
price_velocity_1h,89667.45928955078
day_of_week,82240.60333251953
savings_lag_144,81212.97344970703
savings_mean_24,31950.32958984375
savings_max_144,26290.490356445312
savings_min_24,25057.000244140625
day_cos,23410.349853515625
day_sin,10798.030151367188
savings_max_24,1649.1700439453125
is_weekend,1041.010009765625
hour_cos,0.0
hour_sin,0.0
is_business_hours,0.0
is_holiday,0.0
is_stress_event,0.0
hour,0.0
