feature,importance
headroom_to_ondemand,2292253201.9190674
savings_lag_6,815784418.4355392
savings_mean_24,603582046.2789078
savings_max_24,435058271.6809921
savings_min_24,248083878.4614029
savings_max_144,5390253.810352325
price_velocity_1h,66306.50409507751
savings_std_24,54692.167293548584
family_stress_index,54558.4909992218
savings_lag_144,38494.3076171875
savings_mean_144,29184.281631469727
family_hour_zscore,22565.44428253174
family_hour_deviation,17126.489448547363
savings_std_144,12896.291900634766
price_volatility_6h,10529.649536132812
days_to_nearest_event,6527.4020919799805
month,5836.10710144043
day_of_month,5284.698028564453
savings_min_144,5241.985900878906
savings_lag_24,4571.085597991943
family_avg_savings,3068.528575897217
family_hour_std_savings,2860.0487098693848
family_std_savings,1959.7324256896973
family_hour_avg_savings,1432.435203552246
family_dow_avg_savings,1071.183609008789
family_weekend_avg_savings,893.747802734375
day_of_week,834.393892288208
is_weekend,181.12970352172852
is_stress_event,100.41899871826172
day_sin,85.1720962524414
is_holiday,63.347599029541016
day_cos,62.065399169921875
pool_historical_zero_rate,57.18230056762695
hour_cos,54.0546989440918
is_business_hours,41.832000732421875
hour_sin,0.0
hour,0.0
